area,item,total,exports,imports,prod_output,prod_input,demand,food_demand,start_stock,other_demand,prod_demand,non_prod_demand,additional_demand,additional_pos_demand,additional_neg_demand,export_frac,prod_frac,food_frac,other_frac
Afghanistan,Abaca,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
Afghanistan,"Alcohol, Non-Food",1997.0,0.0,1997.0,0.0,0.0,1997,0,0.0,1997,0.0,0,0.0,0.0,-0.0,0.0,0.0,0.0,1.0
Afghanistan,Apples and products,273440.0,26368.184715621424,2440.0,271000.0,0.0,224000,112000,0.0,112000,423.1847156214235,247505,23071.815284378576,23071.815284378576,-0.0,0.09643133673062253,0.0,0.4095962551199532,0.4939724081494242
Afghanistan,Asses,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
Afghanistan,Bananas,97001.0,0.0,97001.0,0.0,0.0,97001,97001,0.0,0,0.0,0,0.0,0.0,-0.0,0.0,0.0,1.0,0.0
Afghanistan,Barley and products,132245.36842105264,810.5551226081706,4245.368421052633,128000.0,104999.99999999996,7998,3999,0.0,3999,101212.1867015555,8351,18436.813298444496,18436.813298444496,-0.0,0.006129175881815874,0.7939786568985399,0.030239244275592974,0.16965292294405124
Afghanistan,Beans,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
Afghanistan,Beer,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
Afghanistan,"Beverages, Alcoholic",0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
Afghanistan,"Beverages, Fermented",0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
Afghanistan,Bovine Meat,125998.0,0.0,8998.0,116000.0,0.0,125998,125998,1997.0,0,0.0,117000,-1000.0,0.0,1000.0,0.0,0.0,1.0,0.0
Afghanistan,Buffaloes,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
Afghanistan,"Butter, Ghee",36000.0,0.0,0.0,36000.0,0.0,36000,36000,0.0,0,0.0,36000,0.0,0.0,-0.0,0.0,0.0,1.0,0.0
