area,code,region,item,base,ssp126,ssp585,ssp126_diff,ssp585_diff,ssp126_ratio,ssp585_ratio
Afghanistan,AFG,Asia South,Abaca,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Afghanistan,AFG,Asia South,"Alcohol, Non-Food",0.0,0.0,0.0,0.0,0.0,0.0,0.0
Afghanistan,AFG,Asia South,Apples and products,271000.0,271000.0,271000.0,0.0,0.0,0.0,0.0
Afghanistan,AFG,Asia South,Asses,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Afghanistan,AFG,Asia South,Bananas,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Afghanistan,AFG,Asia South,Barley and products,128000.0,19700.51473782859,19700.51473782859,-108299.48526217141,-108299.48526217141,-84.60897286107141,-84.60897286107141
Afghanistan,AFG,Asia South,Beans,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Afghanistan,AFG,Asia South,Beer,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Afghanistan,AFG,Asia South,"Beverages, Alcoholic",0.0,0.0,0.0,0.0,0.0,0.0,0.0
Afghanistan,AFG,Asia South,"Beverages, Fermented",0.0,0.0,0.0,0.0,0.0,0.0,0.0
Afghanistan,AFG,Asia South,Bovine Meat,116000.0,115586.31418870803,115576.7461004941,-413.68581129197264,-423.25389950590034,-0.3566256993896344,-0.36487405129819184
Afghanistan,AFG,Asia South,Buffaloes,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Afghanistan,AFG,Asia South,"Butter, Ghee",36000.0,35616.81717743469,35606.4719907525,-383.182822565308,-393.52800924750045,-1.0643967293480827,-1.093133359020837
Afghanistan,AFG,Asia South,"Camelids, other",0.0,0.0,0.0,0.0,0.0,0.0,0.0
Afghanistan,AFG,Asia South,Camels,20444.0,20337.61272641505,20335.606266741463,-106.38727358495089,-108.3937332585374,-0.5203838465317467,-0.5301982648138193
Afghanistan,AFG,Asia South,Cassava and products,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Afghanistan,AFG,Asia South,Cattle,655619.0,653223.358852505,653189.4323088342,-2395.6411474950146,-2429.5676911658375,-0.3654014217853718,-0.37057615645150754
Afghanistan,AFG,Asia South,"Cereals, Other",0.0,0.0,0.0,0.0,0.0,0.0,0.0
Afghanistan,AFG,Asia South,"Citrus, Other",4000.0,4000.0,4000.0,0.0,0.0,0.0,0.0
Afghanistan,AFG,Asia South,Cloves,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Afghanistan,AFG,Asia South,Cocoa Beans and products,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Afghanistan,AFG,Asia South,Coconut Oil,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Afghanistan,AFG,Asia South,Coconuts - Incl Copra,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Afghanistan,AFG,Asia South,Coffee and products,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Afghanistan,AFG,Asia South,Copra Cake,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Afghanistan,AFG,Asia South,Cotton lint,24440.0,24439.999999999996,24439.999999999996,-3.637978807091713e-12,-3.637978807091713e-12,-1.1102230246251565e-14,-1.1102230246251565e-14
Afghanistan,AFG,Asia South,Cottonseed,48000.0,48000.0,48000.0,0.0,0.0,0.0,0.0
